-471.911	0.660	0.608	10918650CytbX_Rosetta_Monoheme25_flexV1KIH_0081
-471.904	0.661	0.604	10938007CytbX_Rosetta_Monoheme22_flexV1KIH_0052
-471.897	0.670	0.576	10938032CytbX_Rosetta_Monoheme227_flexV1KIH_0441
-471.895	0.725	0.588	10918648CytbX_Rosetta_Monoheme23_flexV1KIH_0158
-471.880	0.803	0.597	10936424CytbX_Rosetta_Monoheme228_flexV1KIH_0044
-471.848	0.677	0.581	10938030CytbX_Rosetta_Monoheme225_flexV1KIH_0282
-471.845	0.666	0.570	10938017CytbX_Rosetta_Monoheme212_flexV1KIH_0011
-471.845	0.913	0.572	10918647CytbX_Rosetta_Monoheme22_flexV1KIH_0038
-471.820	0.811	0.577	10938024CytbX_Rosetta_Monoheme219_flexV1KIH_0223
-471.801	1.043	0.547	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0294
-471.763	0.657	0.586	10938024CytbX_Rosetta_Monoheme219_flexV1KIH_0230
-471.751	0.793	0.554	10938007CytbX_Rosetta_Monoheme22_flexV1KIH_0161
-471.735	1.001	0.561	10938012CytbX_Rosetta_Monoheme27_flexV1KIH_0482
-471.709	1.008	0.557	10938022CytbX_Rosetta_Monoheme217_flexV1KIH_0051
-471.670	0.971	0.570	10938010CytbX_Rosetta_Monoheme25_flexV1KIH_0068
-471.669	0.767	0.541	10938010CytbX_Rosetta_Monoheme25_flexV1KIH_0479
-471.653	0.989	0.554	10938006CytbX_Rosetta_Monoheme21_flexV1KIH_0453
-471.645	0.668	0.635	10938018CytbX_Rosetta_Monoheme213_flexV1KIH_0128
-471.643	0.928	0.559	10938006CytbX_Rosetta_Monoheme21_flexV1KIH_0338
-471.636	0.695	0.613	10938015CytbX_Rosetta_Monoheme210_flexV1KIH_0051
-471.634	0.651	0.594	10918657CytbX_Rosetta_Monoheme212_flexV1KIH_0110
-471.618	0.767	0.536	10938009CytbX_Rosetta_Monoheme24_flexV1KIH_0345
-471.612	1.053	0.574	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0247
-471.610	0.649	0.602	10928092CytbX_Rosetta_Monoheme213_flexV1KIH_0009
-471.594	0.706	0.565	10938006CytbX_Rosetta_Monoheme21_flexV1KIH_0039
-471.572	0.990	0.564	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0349
-471.537	0.955	0.552	10938009CytbX_Rosetta_Monoheme24_flexV1KIH_0236
-471.514	0.685	0.576	10918649CytbX_Rosetta_Monoheme24_flexV1KIH_0227
-471.502	0.685	0.591	10938031CytbX_Rosetta_Monoheme226_flexV1KIH_0220
-471.500	0.670	0.586	10938026CytbX_Rosetta_Monoheme221_flexV1KIH_0006
-471.490	0.684	0.583	10938023CytbX_Rosetta_Monoheme218_flexV1KIH_0271
-471.487	0.899	0.569	10938014CytbX_Rosetta_Monoheme29_flexV1KIH_0361
-471.486	0.685	0.589	10918649CytbX_Rosetta_Monoheme24_flexV1KIH_0222
-471.428	0.886	0.620	10938026CytbX_Rosetta_Monoheme221_flexV1KIH_0322
-471.427	0.652	0.600	10938025CytbX_Rosetta_Monoheme220_flexV1KIH_0208
-471.396	0.647	0.640	10938028CytbX_Rosetta_Monoheme223_flexV1KIH_0089
-471.393	0.685	0.564	10938020CytbX_Rosetta_Monoheme215_flexV1KIH_0021
